RUA BREVES	968	SANTO AMARO	S.PAULO	SP	-23,6476100094	-46,6800252609	Outros	21660
RUA ARAPOCA	105	VILA FORMOSA	S.PAULO	SP	-23,5643056352	-46,5428229827	Outros	23756
RUA MAJOR LUCIO DIAS RAMOS	100	GRAJAU	S.PAULO	SP	-23,7629156311	-46,6954346326	Outros	13893
ESTRADA DO CAETE	90	CENTRO	S.ROQUE	SP	-23,532417819	-47,133623363	Unidade rural	7918
RUA MURICI	1	VILA CECILIA MARIA	S.ANDRE	SP	-23,680955065	-46,516838008	Via pública	12297
PRAÇA DA REPUBLICA	203	REPUBLICA	S.PAULO	SP	-23,5423724175	-46,6427690315	Outros	9029
RUA JOSÉ GONÇALVES DA MOTA JR.	47	VILA BELMIRO	SANTOS	SP	-23,953390254	-46,3432025663	Via pública	26684
RUA THOMAZ GONZAGA	84	LIBERDADE	S.PAULO	SP	-23,5577416083	-46,6359069753	Restaurante e afins	16181
AVENIDA BRIGADEIRO LUIS ANTONIO	1060	BELA VISTA	S.PAULO	SP	-23,5587622099	-46,6419257704	Via pública	25351
ROTATORIA CEASA	0	CHICÓ	PIRACICABA	SP	-22,740879273	-47,651453404	Via pública	602
RUA ARIOSTO DA SILVA LÁZARO	50	JARDIM ZAIRA	MAUA	SP	-23,6566739238	-46,4370130223	Via pública	8866
AVENIDA BRASIL	0	VILA CENTRO	FERRAZ DE VASCONCELOS	SP	-23,541590686	-46,368196795	Terminal/Estação	15477
RUA CANDIDO LACERDA	109	VILA FORMOSA	S.PAULO	SP	-23,5537679814	-46,5657915632	Via pública	10565
AVENIDA MARIA DO SOCORRO E SILVA BEZERRA	3000	PQ VENT VERT	GUARULHOS	SP	-23,442008292	-46,402238409	Outros	37409
AVENIDA ITÁLIA	0	CIDADE JARDIM	TAUBATE	SP	-23,036177798	-45,579256429	Outros	21386
AVENIDA MIGUEL IGNACIO CURI	13	ITAQUERA	S.PAULO	SP	-23,546714569	-46,4727030041	Via pública	22240
RUA CORREIA BARBOSA	5	VILA MARIA	S.PAULO	SP	-23,4975415581	-46,5767818812	Outros	27072
RUA JOAO PESSOA	295	VILA NOVA	BARRA BONITA	SP	-22,4941926391	-48,5643149896	Via pública	3736
ACESSO RUA TASMAN	301	JARDIM BOLELLI	S.BERNARDO DO CAMPO	SP	-23,688312938	-46,557771458	Outros	38262
RUA JOSE ANDRE DE MORAIS	1300		TABOAO DA SERRA	SP	-23,6018476568	-46,7672190472	Via pública	10935
RUA MENALDO C. DA SILVA RODRIGUES	883	JARDIM EUG SILVANO	SOROCABA	SP	-23,455919997	-47,475891725	Comércio e serviços	27758
RUA JOÃO PESSOA	170		SANTOS	SP	-23,9352411941	-46,3256802141	Outros	11255
ESTRADA TAQUARA BRANCA	0	JD AMANDA	HORTOLANDIA	SP	-22,900790714	-47,244550434	Via pública	20923
av dona anila	1001	itapecirica serra	S.PAULO	SP	-23,4691772125	-46,6943929767	Outros	1252
RUA LUAR DO SERTAO	50		ITAPECERICA DA SERRA	SP	-23,692338682	-46,797937303	Outros	18107
AVENIDA SAPOPEMBA	9000	SAPOPEMBA	S.PAULO	SP	-23,595728981	-46,5203330038	Via pública	7028
RUA ANTÔNIO PEDRO DE JESUS	345	CIDADE NAUTICA	S.VICENTE	SP	-23,95200774	-46,4154967365	Comércio e serviços	20960
AVENIDA DA SAUDADE	1700		RIBEIRAO PRETO	SP	-21,1587364752	-47,798475956	Outros	19606
RUA RIFAINA	208		S.PAULO	SP	-23,542010941	-46,6937749944	Outros	14953
RUA JOSE BERNARDES DA SILVA	4	VILA DOM BOSCO	CAJURU	SP	-21,2758603662	-47,295937261	Via pública	13379
AVENIDA FERNANDO BONVINO	0	JD SÃO GERALDO	S.JOSE DO RIO PRETO	SP	-20,822509008	-49,418489578	Outros	1563
RUA ORIENTE	12	BRAS	S.PAULO	SP	-23,5380914725	-46,6221031606	Via pública	16337
